# Server version 0.05 running on kishan-PC:8123
# Game ID: 1
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Fri Apr 05 12:41:37 EDT 2013
# Player 1: Player1, 'RandomPlayer', running on kishan-PC
# Player 2: Player2, 'Human', running on kishan-PC
START Player1 RandomPlayer
START Player2 Human
1 WHITE 2 3
2 WHITE 3 2
1 BLACK -3 1
2 WHITE 1 0
1 WHITE 4 1
2 WHITE 0 2
1 WHITE -1 -1
2 WHITE -4 -3
1 BLACK -4 0
2 WHITE -1 -3
1 WHITE -2 0
2 WHITE 1 -3
1 BLACK 1 4
2 WHITE 1 1
1 WHITE 0 0
2 WHITE 2 0
1 WHITE 0 -3
2 WHITE 0 -2
1 WHITE -1 2
2 WHITE 1 -1
1 BLACK 0 4
2 WHITE -1 -2
1 BLACK 3 1
2 WHITE -3 -3
1 WHITE -2 1
2 WHITE -2 -4
1 BLACK 4 4
2 WHITE 0 -4
1 BLACK -3 -2
2 WHITE 3 -1
1 WHITE -4 -2
2 WHITE 4 0
1 BLACK -1 1
2 WHITE 2 1
1 BLACK -4 -1
2 WHITE 1 2
1 BLACK -2 -3
2 WHITE 1 3
1 BLACK -2 -2
2 WHITE 2 4
1 WHITE 0 -1
2 WHITE -1 3
1 BLACK -2 2
2 WHITE -3 -1
1 BLACK 0 1
2 WHITE -4 -4
1 BLACK -2 -1
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Fri Apr 05 12:42:33 EDT 2013
