# Server version 0.05 running on kishan-PC:8123
# Game ID: 2
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Fri Apr 05 12:49:34 EDT 2013
# Player 1: Player1, 'Human', running on kishan-PC
# Player 2: Player2, 'Human', running on kishan-PC
START Player1 Human
START Player2 Human
1 WHITE 2 4
2 WHITE 2 1
1 WHITE -2 -3
2 WHITE -3 -2
1 WHITE -2 0
2 WHITE -1 0
1 WHITE 1 0
2 WHITE 2 -1
1 WHITE 1 -3
2 WHITE 0 -2
1 WHITE 1 -1
2 WHITE 3 1
1 WHITE 3 0
2 WHITE 3 -1
1 WHITE 4 0
2 WHITE 4 2
1 WHITE 3 3
2 WHITE 1 1
1 WHITE 1 2
2 WHITE 2 3
1 WHITE 4 4
2 WHITE 0 3
1 WHITE 0 2
